StarID,ProperName,RA,Dec,Mag,ColorIndex
378.0,,0.10365537,-1.88705095,8.69,0.509
379.0,,0.10394045,-32.81635348,8.57,1.612
380.0,,0.10425238,-55.49869634,8.89,0.476
381.0,,0.10431626,58.43668966,5.98,0.687
382.0,,0.10466732,-64.24051492,7.92,0.459
383.0,,0.10470338,-10.77847003,7.6,1.539
384.0,,0.10518401,-1.2380176,8.22,1.22
385.0,,0.10518422,-49.07509405,5.7,0.519
386.0,,0.10525068,-65.83919547,12.17,1.55
387.0,,0.10553383,-12.01719883,8.75,0.487
388.0,,0.10559558,40.89871965,6.93,1.086
389.0,,0.10560644,60.45712221,7.97,0.256
390.0,,0.10577002,68.63612309,8.06,1.431
391.0,,0.10693367,-18.03825665,7.31,0.402
392.0,,0.10721191,42.75275856,8.35,0.624
393.0,,0.10736857,64.19616859,5.57,-0.023
394.0,,0.10943351,43.78227474,8.87,0.426
395.0,,0.10987378,28.55343687,6.68,0.986
396.0,,0.10996725,56.51450029,8.05,0.112
397.0,,0.11014736,29.02193518,6.07,0.752
398.0,,0.11068798,33.65427137,8.51,1.107
399.0,,0.11078956,-36.08467578,7.71,1.038
400.0,,0.11100387,-24.62067192,8.56,0.548
401.0,,0.11113095,70.16926509,8.26,1.233
402.0,,0.11162177,56.32466451,8.62,0.148
403.0,,0.1130383,-4.34981191,8.21,0.574
404.0,,0.11304938,23.49381547,8.72,0.41
405.0,,0.11311733,-70.58944075,8.03,1.631
406.0,,0.1138957,-23.10742543,6.19,0.386
407.0,,0.11406501,20.55974087,8.22,0.951
408.0,,0.11407859,31.13044847,7.93,1.107
409.0,,0.11453446,1.86101143,8.98,0.567
410.0,,0.11480464,-38.87768936,6.91,1.123
411.0,,0.11482463,-55.16079775,8.79,1.234
412.0,,0.11498691,-3.62572272,8.23,0.58
413.0,,0.11559346,38.20259978,8.83,1.114
414.0,,0.11563983,-43.98527,7.62,0.955
415.0,,0.11652847,-40.41400635,8.96,0.446
416.0,,0.1165768,53.97486354,8.97,0.05
417.0,,0.11722052,22.84448874,8.29,0.387
418.0,,0.11734206,5.28802852,8.3,1.552
419.0,,0.11738043,-18.82075644,8.26,0.494
420.0,,0.1178221,6.87560716,7.44,0.203
421.0,,0.11836555,85.40485204,8.2,0.295
422.0,,0.1187691,-15.8500875,8.68,0.529
423.0,,0.11883157,-30.56157424,8.65,0.061
424.0,,0.11896248,-37.92914178,8.41,0.405
425.0,,0.11918253,72.77522493,8.42,0.345
426.0,,0.11949469,34.85379559,8.86,1.552
427.0,,0.11972793,46.75702172,7.92,1.054
428.0,,0.12016257,6.20432213,8.85,0.323
429.0,,0.12035831,-76.73091557,7.56,0.419
430.0,,0.12047431,73.21031615,7.88,0.407
431.0,,0.12068362,20.55571109,7.99,1.441
432.0,,0.12095164,-41.88961116,8.23,0.599
433.0,,0.1212881,-27.39777661,8.52,1.084
434.0,,0.12174257,-17.38703103,6.2,0.133
435.0,,0.12177501,7.70357212,7.64,0.493
436.0,,0.12208183,1.66508782,8.95,0.653
437.0,,0.12279011,-56.83685592,7.48,1.532
438.0,,0.12289102,-25.35632439,7.06,0.463
439.0,,0.1229105,26.45088655,7.33,1.011
440.0,,0.12302771,-11.03336416,8.98,0.739
441.0,,0.12312053,-11.61292585,8.24,0.271
442.0,,0.12368601,-40.47958534,8.53,0.909
443.0,,0.12386179,-77.49416581,8.4,1.014
444.0,,0.12445974,-56.01154749,7.48,0.466
445.0,,0.12479531,17.30273637,8.46,1.59
446.0,,0.12535862,24.32121026,8.57,0.249
